board_idx,InitialPuzzle,CompletePuzzle,BoardSize,ColorCount,NumberOfLines,v
319,2xxxx1xxxx233xxx1xxxxxxxx,2222211112233122111222222,5,3,8,0.375
325,12xxxx2x3xxxxxx3xxxx1xxxx,1211112131111313333111111,5,3,9,0.3333333333333333
326,xxxxxxxx3xxx2xxxx1xx2xx31,2222223332232222311123331,5,3,9,0.3333333333333333
329,1xx23xxxxxxx321xxxxxxxxxx,1222312333123211222111111,5,3,10,0.3
330,xx2x3xx1x2xx3xxxxx1xxxxxx,2223321132213322111222222,5,3,10,0.3
334,xxx12xxxxxx21xxx3x3xxxxxx,1111212222121111333111111,5,3,9,0.3333333333333333
337,13xxxxxx1xxxxxxx2xx2xxxx3,1333311113333333222233333,5,3,8,0.375
341,1xxxxxxx3xx12xxxxx2xx3xxx,1111133331312213112133111,5,3,11,0.2727272727272727
350,32xxxxxx1xxx2xxxxxxxxxx31,3222231112312223111133331,5,3,9,0.3333333333333333
365,3xx1xx1xxxx22xxx3xxxxxxxx,3331111331122311333111111,5,3,11,0.2727272727272727
394,3xxxx212xxxx1xxxxxxx3xxxx,3333321223211232222333333,5,3,9,0.3333333333333333
396,xxxx3x1xxxxxxxx1223xxxxxx,3333331111333311223111111,5,3,9,0.3333333333333333
399,23xxxxxxxxxxxxxx21xx1xxx3,2333322223111231212312223,5,3,10,0.3
400,12xx3x1xx2xxxxxx3xxxxxxxx,1223311232222322333222222,5,3,11,0.2727272727272727
407,x2x12x3x3xxx1xxxxxxxxxxxx,2211223132231322333222222,5,3,9,0.3333333333333333
411,1x31xxxx2xxx23xxxxxxxxxxx,1331113221132311333111111,5,3,10,0.3
415,xxxx3x1xx1xx2xx2xx3xxxxxx,3333331111332222333222222,5,3,10,0.3
420,xxxxxxxx3xxx12xxxx132xxxx,2222223332231222311323333,5,3,10,0.3
444,132xxxxxxxxx2xxxx3xx1xxxx,1322213332122321233212222,5,3,10,0.3
447,x1xxxxxx3xxxxxxx232xxxxx1,1122212232123321232211111,5,3,12,0.25
451,xxxxxxxx2xxx1xxxx3x31xxx2,1111112221121111233312222,5,3,8,0.375
452,33xxx1xx2xxxxxxx1xxxxxxx2,3311111121222212111122222,5,3,10,0.3
460,xxxxxxxxx3xx2xxx1x21xxxx3,3333331113312113122133333,5,3,11,0.2727272727272727
464,xxxxx3xx1xxxxxxx3x2xxxx12,3333331113113331332211112,5,3,13,0.23076923076923078
466,3xxxxxxxxxxx2xx121xx3xxxx,3333311113122131211333333,5,3,9,0.3333333333333333
469,xxxx1xx2x3xx3x1xxx2xxxxxx,1111112233123311222111111,5,3,10,0.3
471,xxx12xxxxxxx3xxxxx2xx13xx,1111212222123331222311333,5,3,10,0.3
474,2xxxxxxx3xx1x1xx2xxxxxxx3,2222233332311123222233333,5,3,7,0.42857142857142855
483,xxx23x1xxxxx2xx1xxxx3xxxx,2222321113222131111333333,5,3,8,0.375
490,3xxxxxxx2xx13xxxxxxxxxx21,3333322223213332111122221,5,3,9,0.3333333333333333
491,xxxx3x1xxxxx23xx2xxxxxx1x,3333331111322313233133311,5,3,11,0.2727272727272727
493,1x23x3xxxxxx1xxx2xxxxxxxx,1123331223311233222333333,5,3,11,0.2727272727272727
499,1xxx3xx3xxx22xxx1xxxxxxxx,1111333313322133111333333,5,3,8,0.375
510,3xxxx2xxxxxx1xxx32xx1xxxx,3333322223111231322313333,5,3,9,0.3333333333333333
512,13xx3xxxx2xx2xxx1xxxxxxxx,1333311112222122111222222,5,3,9,0.3333333333333333
513,x31x2x2xx3xx1xxxxxxxxxxxx,3312232123321233222333333,5,3,9,0.3333333333333333
515,xxxxxxxx1xxxxxxxx3223xxx1,3333331113313333132231111,5,3,9,0.3333333333333333
519,xxxxxx2x2xx3xxxxx1xx3xxx1,1111112221133311113133331,5,3,8,0.375
520,2xxxxxxx1xx2xxxxxxx13xxx3,2222211112122221111133333,5,3,7,0.42857142857142855
522,xxxx2xx131xx3xxxxxxxxxxx2,2222221131213312111122222,5,3,9,0.3333333333333333
527,xxx31x1xxxxxxxx2xx2x3xxxx,3333131111333332222333333,5,3,8,0.375
533,xxxxxxxxxxxx3xxxxx1x2132x,2222221112213122131221322,5,3,8,0.375
536,xxxxxxxx3xxx112xxxxxxxx23,2222223332231122333322223,5,3,9,0.3333333333333333
537,xxx3x12x2x3x1xxxxxxxxxxxx,1113312123321233222333333,5,3,10,0.3
538,xxxxx21xxx133xxxxxxx2xxxx,2222221112133121111222222,5,3,9,0.3333333333333333
539,23xxxxxxxxxx3xxx112xxxxxx,2333322223333233112333333,5,3,9,0.3333333333333333
543,xxx32xxx1xxx2xxxxxxxxxx31,3333231112312223111133331,5,3,9,0.3333333333333333
551,xxxxxxx31xxx1xxxxx2xx2xx3,2222223312231122332222333,5,3,12,0.25
555,xxxxxxxxxxxx23xx3xx1xx1x2,1111113331132311322111122,5,3,11,0.2727272727272727
557,1xxxx2xxxxxxx2xx3xxx1xxx3,1111122221111211311113333,5,3,10,0.3
558,1xxxx33x2xxxxxxx1xx2xxxxx,1111133221222112111222222,5,3,12,0.25
563,xxx31x1x3xxx2xxxxxx2xxxxx,2223121231212112111222222,5,3,11,0.2727272727272727
564,xxxxxx2xxxxx3xx12xxxx13xx,3333332223333231222311333,5,3,10,0.3
568,x1xx2xxx1xxx3xxxx23xxxxxx,1122212211123311223111111,5,3,12,0.25
572,xxxxxxxx1xxx22xxxxx3xx3x1,3333331113312233111333311,5,3,10,0.3
575,3xxx2xxxx1xx123xxxxxxxxxx,3222232111321233222333333,5,3,9,0.3333333333333333
580,xxxxxxxxx3x23xxxxx1x1xxx2,3333332223323223331211112,5,3,12,0.25
582,x23xxx1x2xxx1xx3xxxxxxxxx,2233321123221233222333333,5,3,12,0.25
583,xxxxxxxxxxx13xxxxxxx231x2,2222221112213122331223112,5,3,10,0.3
587,xxxx1xxxxxxx3xxxx23xxxx12,1111112222123321223211112,5,3,9,0.3333333333333333
590,3xxxx1x2xx3x1xxx2xxxxxxxx,3333311223311233222333333,5,3,10,0.3
592,xxxxxxxxxxxx2xx13xx12xxx3,1111113331132311323122233,5,3,9,0.3333333333333333
593,3xxx22xx11xxxxxxxx3xxxxxx,3322223211232222333222222,5,3,10,0.3
594,xxxxxx3xxxxx1xxx1xxx23x2x,2222223332211322133223322,5,3,11,0.2727272727272727
595,xxxxx3xxxx2x1xxxxx2x13xxx,3333332223221231112313333,5,3,11,0.2727272727272727
596,1xx3xx3x2xxxxxxx12xxxxxxx,1113333123311233122333333,5,3,11,0.2727272727272727
597,32xxxxxxxxxx1xxx3xxxxxx12,3222233332111321333211112,5,3,9,0.3333333333333333
602,3xxxx1xxxx2x3xxxx1xx2xxxx,3333311113233132311323333,5,3,9,0.3333333333333333
603,xxxx2xxxx1xx3xx2xx1x3xxxx,2222221111213332111333333,5,3,8,0.375
606,xx1x3xxxx2xx2xxxxxx3xxxx1,1113313332132221333311111,5,3,10,0.3
607,3xxxxxx12xxxxxxxx3xx1xxx2,3333311123122231233312222,5,3,9,0.3333333333333333
608,xxxxxxxx2xxx3xxx21x1xxxx3,3333332223323333211133333,5,3,8,0.375
609,xxxxxxxxxx3x2xx1x21x3xxxx,3333331113312131121333333,5,3,9,0.3333333333333333
611,xxxxxxxx3xxx2xxxx311xxxx2,2222223332232222331122222,5,3,9,0.3333333333333333
1167,2xxxxxxx1xx2x1xxxx3x3xxxx,2222233312323123233232222,5,3,9,0.3333333333333333
1168,xxxxxxxxxx2x1xxxxxxx31x32,2222223332231323313231132,5,3,10,0.3
1169,xxxxxx1xxxxx2xx1xxx23xxx3,2222221112222121111233333,5,3,8,0.375
1170,x1xxxx2x1xxxxxxxxx3x32xxx,1122212212111123333232222,5,3,11,0.2727272727272727
1171,xxx1xx2xxxxxxxxx3x3x2xx1x,3331132331322313323122211,5,3,13,0.23076923076923078
1172,xxxx332xxxxxxxxx2x1xx1xxx,3333332222111121221211222,5,3,11,0.2727272727272727
1173,2xxxx1xx3xxx2xxxxxxxxxx13,2222213332132221333311113,5,3,9,0.3333333333333333
1174,x2xx3xxx1xxx2xxxx3xxxxxx1,2233323311232212332122221,5,3,12,0.25
1175,3xxxxxxxxx1x2xx2x1xx3xxxx,3333311113122132211333333,5,3,10,0.3
1176,xxx22x1xxxxxxxxxx3xx1xxx3,3332231333311133331311113,5,3,11,0.2727272727272727
1177,x2xxxx1x2xxxxxx1xxxx3xxx3,2211121121222211111133333,5,3,10,0.3
1178,xxxx3x2xxxx1x1xxxx3x2xxxx,3333332222311123333222222,5,3,7,0.42857142857142855
1179,xxxx3x2xxxxxx3x21x1xxxxxx,3333332222333322111222222,5,3,8,0.375
1180,xxx12xxxxxx31xxxxx3x2xxxx,1111213332131321113222222,5,3,9,0.3333333333333333
1181,xxxxxx133xxxxxxxx2xx1xxx2,2222221332211122221211112,5,3,9,0.3333333333333333
1182,2xxx1xxxxxx1x2xxxx3x3xxxx,2222133321313213133131111,5,3,9,0.3333333333333333
1183,xxx1xx2xxxxx1xxx2x3xx3xxx,3331132331321313213133111,5,3,11,0.2727272727272727
1184,1xxxxxxxxxx312xxxxxx2xxx3,1111122221231212311123333,5,3,9,0.3333333333333333
1185,xxx1x31xxxxx2xxx2x3xxxxxx,3331131331112311223111111,5,3,13,0.23076923076923078
1186,xxxx2x13xxxxxxxxx2xx1xxx3,2222221333211132221311113,5,3,9,0.3333333333333333
1187,xxx21x1xxxxxxxx3xx3x2xxxx,2222121111222223333222222,5,3,8,0.375
1188,xxxxxx2x31xxxxx31x2xxxxxx,1111112231112333122333333,5,3,13,0.23076923076923078
1189,2xxxx1xxxxxxx1xx3xxx2xxx3,2222211112222122322223333,5,3,10,0.3
1190,x1xxxx2x1xxxxxx2xxxx3xxx3,1122212212111122222233333,5,3,10,0.3
1191,x3xxxxxx3xx1xxxxxx1x2xxx2,3311131131313313331122222,5,3,13,0.23076923076923078
1192,xxxxxxxxxxxx2xxxxxx3312x1,3333331113312133121331211,5,3,8,0.375
1193,xxxxxx2xx1xx1xx3xx3x2xxxx,1111112221111223333222222,5,3,10,0.3
1194,x3xxxx1x2xxx2xx1xx3xxxxxx,3311131121332211333111111,5,3,13,0.23076923076923078
1195,1xxx1xxxxxx2xxxxx3xx2xxx3,1111133333322233332322223,5,3,8,0.375
1196,xxxx3xxxxxx2x3xxxx2x1xxx1,3333332222323323332211111,5,3,10,0.3
1197,xxxxxx3x1xxxx2xx3xxxxxx21,2222223112231222311122221,5,3,10,0.3
1198,xxxxxxxx12x1xxxx3x2xxxxx3,2222221112213332332322223,5,3,11,0.2727272727272727
1199,1x3xx2xxxxxx3xxxx1xx2xxxx,1133321113233132311323333,5,3,11,0.2727272727272727
1200,3xxx2xx2xxx3xxxxxxxx1xxx1,3333222232233322222211111,5,3,8,0.375
1201,3xxxxxxx2xxxxxxx3112xxxxx,3333322223233332311222222,5,3,9,0.3333333333333333
1202,3x1xx2xxxxxx1xxxx3xx2xxxx,3311123331211312133121111,5,3,11,0.2727272727272727
1203,2xxx3xx3xxxxxxxx2xxxxxx11,2222333323322233233333311,5,3,11,0.2727272727272727
1204,31xx2xxxxx213xxxxxxxxxxxx,3111233312213122111222222,5,3,10,0.3
1205,2xxxxxxx3xx12xxxxxx1xxxx3,2222233332312223111133333,5,3,8,0.375
1206,xxxx3x1xxxxxx3x12x2xxxxxx,3333331111333311222111111,5,3,8,0.375
1207,2xxx1x3xx3xxxxxx21xxxxxxx,2221133213322133211333333,5,3,11,0.2727272727272727
1208,xxxx331xxxxxxxxx1x2xx2xxx,3333331111222212112122111,5,3,11,0.2727272727272727
1209,xxxxxxxxxxx13xx2xxxx3x1x2,2222221112213122331233112,5,3,11,0.2727272727272727
1210,1xxx23x3xxxxxxxx2xxxxxxx1,1111233312111121222211111,5,3,8,0.375
1211,3xxxxxxx2xx3xxxx1xx1xxxx2,3333322223233332111122222,5,3,7,0.42857142857142855
1212,1xxx3xxxxxx321xxxxxxxxxx2,1111322213232132333322222,5,3,9,0.3333333333333333
1213,1xxx3xxxxxx12xx2xxxx3xxxx,1111322213212132111333333,5,3,9,0.3333333333333333
1214,2xxxx1xx3xxx2xxxxxx3xxxx1,2222213332132221333311111,5,3,8,0.375
1215,xxxxxx13xxxxxxxx2x3x1xx2x,2222221332211322213211122,5,3,11,0.2727272727272727
1216,3xxxxxxxxxx3x2xx2xxx1xxx1,3333322223233232233311111,5,3,10,0.3
1217,3xxxxxxx1xx3xxxx2xx2xxxx1,3333311113133331222211111,5,3,7,0.42857142857142855
1218,12xxxxxxxxxxx1xx2x3x3xxxx,1222211112333123233232222,5,3,11,0.2727272727272727
1219,xxxx2x3xxxx1xxxxx2xx1xxx3,2222223333211132221311113,5,3,8,0.375
1220,xxx121xxxx3x3xxxxx2xxxxxx,1111212222323333222333333,5,3,10,0.3
1221,12xxxxxx1xxxx3xx2xxxxxxx3,1222211112333323222233333,5,3,8,0.375
1222,3xxxx1xxx3xxxxxx1x2x2xxxx,3333311113222112122121111,5,3,12,0.25
1223,x2xx3x1x2xxxxxxxx13xxxxxx,2233321322213322113222222,5,3,11,0.2727272727272727
1224,xxxx1x3xxxxxxxx3221xxxxxx,1111113333111133221333333,5,3,9,0.3333333333333333
1225,xx3x2xxxx1xx3xxxx2xxxxxx1,3332232221323313223133331,5,3,11,0.2727272727272727
1226,3xxxxxx12xxxxxxx2x1xxxx3x,3333311123122231211311133,5,3,11,0.2727272727272727
1227,xxxxxxxxxxxx123xxxxx3xx21,3333332223321233211132221,5,3,10,0.3
1228,xxxxxxxx1xxx2xxxxxx1x23x3,2222221112212222111122333,5,3,9,0.3333333333333333
1229,21xx3xxxxx312xxxxxxxxxxxx,2111322213312133111333333,5,3,10,0.3
1230,1xxx3xxxxxx12xxxxxxxxxx23,1111322213212132111322223,5,3,9,0.3333333333333333
1231,3x2x1xxxx2xx1xxxxxx3xxxxx,3221132112321223222333333,5,3,13,0.23076923076923078
1232,xxxxxxxxxxxx3x11xxx22xxx3,1111112221123211232222333,5,3,10,0.3
1233,xxxxxxxxxx2x3xx1xx1x3xx2x,2222221112213121131233322,5,3,10,0.3
1234,1xxxxxxx3xx2x2xxxx3x1xxxx,1111133331322213333111111,5,3,7,0.42857142857142855
1235,3xxxxxx12xxxxxxx23xxxxxx1,3333311123122231233311111,5,3,9,0.3333333333333333
1236,xxxx3xxxx2x2xxxxxx1x1xxx3,3333332222323333331311113,5,3,10,0.3
1237,1xxxx2xxxxxx3xxxxxxx321xx,1111122221333213222132111,5,3,9,0.3333333333333333
1238,xxxxx13x3xxxx2xx1xxxxxxx2,1111113331222212111122222,5,3,8,0.375
1239,2xxxx1x13xxxxxxx2xxxxxxx3,2222211132333323222233333,5,3,8,0.375
1240,1x2xx3xxxxxx3xxxxxxx12xxx,1122231112333121111212222,5,3,11,0.2727272727272727
1241,2xxxx3xxxxxx1xxx3xx2xxxx1,2222233332111321333211111,5,3,8,0.375
1242,x2xxxx1x3xxxxxxx31xxxxxx2,2211121131233312311122222,5,3,11,0.2727272727272727
1243,xx1x3xx2x2xx3xxxxxxxxxxx1,1113312232123321222211111,5,3,10,0.3
1244,xxxx1xxxx3xxxxxx321xxxxx2,1111113333132221321211112,5,3,9,0.3333333333333333
1245,xxxxx2xx1xxx2xxx3xx3xxxx1,2222221112112221333311111,5,3,10,0.3
1246,xx213xxxxxxx2xxxx1xxxxxx3,2221321113212232112322223,5,3,10,0.3
1247,xx3x2xxxx1xx1xxxxxx2xxxx3,3332232221321113222233333,5,3,10,0.3
1248,xxxxx2xxxx3x1xxxxxxx13xx2,2222223332331321113213332,5,3,11,0.2727272727272727
1249,xxx13x2xxxxx1xx32xxxxxxxx,1111312223111233222333333,5,3,9,0.3333333333333333
1250,xxxx3x21xxxxx2xxxx3x1xxxx,3333332111322213333111111,5,3,8,0.375
1251,x1x23xxxxxxx3x1xxx2xxxxxx,1122312233123311222111111,5,3,13,0.23076923076923078
1252,xx321xxxxxxx1xxxxx23xxxxx,3332132221321113222333333,5,3,10,0.3
1253,xx13xxxxxxx21xxxxx2x3xxxx,1113312223121231112333333,5,3,10,0.3
1254,2xxx3xxx2xx31xxxxxx1xxxxx,2222311123131331333111111,5,3,12,0.25
1255,13xx2xxxxxx2xxxx1x3xxxxxx,1333211132221322113222222,5,3,10,0.3
1256,xxx3132xxxxx1xxx2xxxxxxxx,3333132221111211222111111,5,3,9,0.3333333333333333
1257,x13xxxxxxxx21xxxxx2x3xxxx,1133312223121231112333333,5,3,10,0.3
1258,1x3xx2x2xxxx1xxxxxxx3xxxx,1133321223211232222333333,5,3,10,0.3
1259,23xxxxxxxxxx12xx3xxxxxxx1,2333322223111231333311111,5,3,9,0.3333333333333333
1260,xxxxx3xxxxxx1xx2xx2x1x3xx,3333332223221232112311333,5,3,13,0.23076923076923078
1261,112x3xxxxxx23xxxxxxxxxxxx,1122333323323233222333333,5,3,10,0.3
1262,1xxx3x3xx2xxxxxx1xxxxxx2x,1113333132311323133233322,5,3,13,0.23076923076923078
1263,xxxxx23xxxxxx3xx2x1x1xxxx,2222223332111321211212222,5,3,11,0.2727272727272727
1264,21xxxxxx3xxx1xxxxxxxxxx23,2111123331231112333322223,5,3,9,0.3333333333333333
1265,xxx23xxxxxxx1xxxxxx1xx2x3,2222323333231112333122233,5,3,11,0.2727272727272727
1266,1xxx3xx2xxxxxxxx13xxxxxx2,1111322213211132133322222,5,3,9,0.3333333333333333
2022,13x12xxx2xxxxxxxxx3xxxxxx,1311213122131111333111111,5,3,10,0.3
2176,13xxxxxx32xx2x1xxxxxxxxxx,1322213232132311333111111,5,3,9,0.3333333333333333
2191,2xxxx1xx13xx3xxxxx2xxxxxx,2233312313123111222111111,5,3,11,0.2727272727272727
2195,xxxxxxxxxx3x2xx21xxxxxx13,3333331113312132121322213,5,3,9,0.3333333333333333
2331,xxx31xx12xxx2xxxxxxxxxxx3,3333131121312213111133333,5,3,9,0.3333333333333333
2352,xxxxxxxxxxxx2xx3xxx31x2x1,3333331113312133121311211,5,3,9,0.3333333333333333
2490,xxx1231xxx2x3xxxxxxxxxxxx,3331231312213122111222222,5,3,9,0.3333333333333333
2491,x3xx2x1x13xx2xxxxxxxxxxxx,3322231213312133111333333,5,3,9,0.3333333333333333
2,31xxxxxx2x2x3xx4xxxxxx41x,3111133321223214222144411,5,4,12,0.3333333333333333
3,2x2x4xx1x3xxxxxx4x1xxxx3x,2224411143144431411311133,5,4,12,0.3333333333333333
4,21xxxxxx2x4xxxxx13x3xxxx4,2111122221411114133344444,5,4,9,0.4444444444444444
5,xxxx332xxxxxx1xx4x2xx1xx4,3333332222111121442211444,5,4,11,0.36363636363636365
6,2x3xx1xx4xxxxxx21x4xxxx3x,2233312243112432124322233,5,4,13,0.3076923076923077
7,3x3x2xxxx1x41xxxxxxxxxx24,3332222221241112444422224,5,4,11,0.36363636363636365
8,4xxx13x2xxxx1xxx2x4xx3xxx,4444132241321413214133111,5,4,9,0.4444444444444444
9,43x14xxxxxxx1x2xx3xxxxxx2,4311443144431424334244442,5,4,10,0.4
10,3xxx1xx4x1xxxxxx2xx2xx3x4,3222132421324223244233344,5,4,12,0.3333333333333333
11,3xxx4x2xx1xxxx1x34x2xxxxx,3334422341233412344222222,5,4,12,0.3333333333333333
12,x1xxxxxx14x4xx2xxx2x3xxx3,1144414414141121112233333,5,4,14,0.2857142857142857
133,3xxxx2xxxx411xxxx4xx2xxx3,3333322223411234442322223,5,4,8,0.5
134,2xxx3x4xx1x32xxxxxxxx41xx,2223344231432314333144111,5,4,11,0.36363636363636365
136,4xxx4x2xx3x3xx2xxxx11xxxx,4444422333233222222111111,5,4,11,0.36363636363636365
137,xxxx4xxxx34xxxxxxx2131xx2,4444443333431113312131122,5,4,12,0.3333333333333333
138,xxxxxx3xxxx243xx2x1xxxx14,4444443334424344241444414,5,4,9,0.4444444444444444
139,xxxx24x1xxxxxxx1xx3x4x3x2,4444241142114421443244332,5,4,15,0.26666666666666666
142,2xxx4xxxxxxxx3xx41xxxx231,2444424111241312413122231,5,4,8,0.5
143,xxxx443xxx2xxxx1x1xx2xxx3,4444443333222231112322223,5,4,8,0.5
145,x2xxxx134xxx1xxx24xx3xxxx,2233321343211432244333333,5,4,11,0.36363636363636365
148,1xxxxx324x1xxxx2x4xx3xxxx,1333313243122432244333333,5,4,11,0.36363636363636365
158,xx342x1xxxxxxxxxxx2431xxx,3334231442314223142431444,5,4,11,0.36363636363636365
160,3xxx1x41xxx2xxx4xx3x2xxxx,3333144131421314213122111,5,4,9,0.4444444444444444
161,1xxxxxxxxx4134x2xx3x2xxxx,1111144441413412133121111,5,4,10,0.4
175,xx342x41xxxx1xxxxxxxx32xx,3334234142341423444233222,5,4,9,0.4444444444444444
177,43xx2x14xxx1xxxxxxxx3xxx2,4333241432414324443233332,5,4,8,0.5
178,2xxxx2x43xxxxxxx4xxx13xx1,2111121431114311443113331,5,4,10,0.4
179,41x12xxx3xxx2xxxxxx3xxxx4,4111243332432224333344444,5,4,8,0.5
180,xxx4342x1x3x12xxxxxxxxxxx,4444342113321233222333333,5,4,10,0.4
183,x24xxx3xxxxx1xx21xxx3xx4x,2244423334211342133433344,5,4,12,0.3333333333333333
189,2xxxx3x4xx1x3xxxx14x2xxxx,2222233442133421114222222,5,4,10,0.4
191,4xxxxxxx3xxxxx4xx2x131xx2,4444433334311143121131222,5,4,10,0.4
196,3xxx1xxx3xx4x2xxxx4xxxx21,3333122231242212444122221,5,4,10,0.4
197,xx3423x1xx2x4xxxxx1xxxxxx,3334231142214422111222222,5,4,10,0.4
204,xxxxxx1x133xxxxxxx2x42x4x,3333331113344444422442244,5,4,13,0.3076923076923077
214,1xxxxxx22xxx3x4xx431xxxxx,1444414224143341443111111,5,4,10,0.4
215,xxxxxx3342xxxx1xx1xx2xxx4,2222223342244412411124444,5,4,10,0.4
218,xxxxxx3x3xx442xx1xxxxxx21,2222223332244222111122221,5,4,9,0.4444444444444444
223,3xxx14xxxx23xxxxx4xx2xxx1,3333144431234312343123331,5,4,8,0.5
230,2x1x342xx4x1xxxx3xxxxxxxx,2213342134411344333444444,5,4,10,0.4
231,xxxxxxxxxxxx423x2x41xxx31,3333332223324233244133331,5,4,10,0.4
232,xxx131x24xxxxxxx4x3xxxxx2,1111312243224432443322222,5,4,13,0.3076923076923077
240,4xx223xxx11x3xxx4xxxxxxxx,4442233441133411444111111,5,4,12,0.3333333333333333
241,x3xx1x4x2xxxx1xxxx4xx32xx,3311134122341123444233222,5,4,11,0.36363636363636365
242,4xxxxxxxxxx1134x2xxxxxx32,4444433334311343222233332,5,4,9,0.4444444444444444
244,3xxxxx42x3x21xxxxx1x4xxxx,3333344223421224211242222,5,4,12,0.3333333333333333
246,4x41xxxx2xx3x2xxxxxx1xxx3,4441111121131211311113333,5,4,10,0.4
247,3xxxx4xx4xxxxxx31xxx2xx21,3333344443333333111122221,5,4,8,0.5
249,13x4xx1xxx422xxx3xxxxxxxx,1334411334422344333444444,5,4,12,0.3333333333333333
251,24x13x1xx3xx4x2xxxxxxxxxx,2441321413214122111222222,5,4,9,0.4444444444444444
253,xxx11x2xxxxx3xxxxxxxx4234,4441142444423344223444234,5,4,12,0.3333333333333333
255,42xxxxxx3xx14xx13xxx2xxxx,4222244432114321333222222,5,4,10,0.4
256,341x1xxxxxxxxxxxx42x32xxx,3411134444322243242432444,5,4,10,0.4
259,2xx34132xxxxxxxxxx1x4xxxx,2223413234133341111444444,5,4,9,0.4444444444444444
260,13xx2xxxx34xx2xx1xxxxxxx4,1332211323413234133344444,5,4,11,0.36363636363636365
261,32xxx3xx1x4x2xxxxxxxxxx41,3222231112412224111144441,5,4,10,0.4
265,1223xxx4xx3x1xxx4xxxxxxxx,1223311443311433444333333,5,4,12,0.3333333333333333
266,xx3x1x4xx2xx14xxxxx2xxxx3,3331134112341423444233333,5,4,11,0.36363636363636365
274,xx21xxxxxxx32xxxxx314xxx4,2221123331232312223144444,5,4,10,0.4
280,xxxxx2331xxxxxxx2xxx14xx4,2222223312111121222214444,5,4,9,0.4444444444444444
281,xxxxxxxx3xxxx1xx3x4x41x22,4444443334431144314441122,5,4,10,0.4
282,xxxxx31xxx2x4xxx41xxxxx23,3333331113244132411322223,5,4,10,0.4
285,xxxxxx1x12x34xxxxx3xxxx24,2222221112234442333422224,5,4,9,0.4444444444444444
288,x3xx1xxxx3xxxx4x1x2xxxx24,3311131133313343132433324,5,4,13,0.3076923076923077
291,xxxx4x2xxxxx13xx13xxxxx42,4444442222411324133244442,5,4,9,0.4444444444444444
292,2xxx3xx4xxx12xxxxx13xxxx4,2222344423412234111344444,5,4,9,0.4444444444444444
295,x2x43xxxxxxx2x1x4xx1xxxx3,2244324433242312423122233,5,4,13,0.3076923076923077
298,2xxx4xxx23x4x1xxxxxx1xxx3,2444424223242132221311113,5,4,9,0.4444444444444444
301,xxxxxxxxxxxx4xx23xxx11432,2222223332234322343211432,5,4,8,0.5
